	Q6PUV4	Q9UHG2	Q16143	Q9UMF0	Q9UPA5	Q16623	O76070	O43761	Q92686	Q7L1I2	P50454	Q9UBG0	P55061	Q6UX53	Q02809	O00469	P13674	Q8IUX7	P48681	Q70UQ0	subtypes
TW690	1.262439151	0.414881898	1.271486783	2.43293725	0.871801167	3.336266161	1.535991296	2.057523606	2.211107574	1.870670282	2.656907416	1.71827423	-1.737183643	2.440358593	0.516056602	-0.241500754	0.05224624	0.766932507	3.885380623	0.329504535	subtype2+3+4
TW691	-0.319843236	-0.655515445	0.850709197	-0.294553565	NA	1.164063453	1.191982411	0.236494309	2.102782501	0.030673165	2.562475075	1.98581837	NA	1.495180796	2.115761981	2.575992715	2.293037465	1.634704256	2.39818216	1.552412789	subtype2+3+4
TW692	NA	-1.64867893	NA	-1.21243868	NA	0.459639478	-1.713878888	-0.228061368	0.772424117	-0.510624583	3.265685536	2.405321911	NA	3.789169618	2.162355524	2.782155105	2.38889664	1.339727588	1.493740956	2.179010108	subtype2+3+4
TW693	NA	-0.86308126	-1.979428645	-1.117299854	NA	-0.017626755	0.945803502	-0.712465856	2.056151079	NA	3.733449105	2.757975742	-1.845756368	2.327090846	2.46829223	2.503171177	2.557988223	2.650871171	2.679859745	1.452272033	subtype2+3+4
TW694	1.439379819	-0.573143458	2.145482188	0.909574725	0.226724685	2.061603128	2.164907131	1.430438276	4.247155656	0.382738503	3.166604194	2.42207352	-1.795952809	1.94411385	1.488027687	0.542295352	1.27843508	0.65511514	3.876714534	0.612849837	subtype2+3+4
TW696	-0.170793724	-0.082197049	2.458436159	0.537668787	-2.216682511	1.202528628	2.985615775	0.215639067	3.775782447	-0.20413056	3.001670131	1.576483408	-1.248142294	0.724047789	1.324702473	0.264994542	1.361716776	0.845256719	4.16220468	0.83547074	subtype2+3+4
TW697	NA	-1.151118243	-0.420833815	-0.839563079	NA	-0.502275456	-0.320243664	-0.542884096	1.420822615	-1.339996013	4.29664047	2.942835587	-0.711955776	2.854437499	2.782423048	2.83525975	2.746438381	1.008664599	3.378224448	2.151426766	subtype2+3+4
TW698	2.515751312	2.465184466	3.753276942	2.918771014	2.313922296	3.620353164	3.252655764	3.475540112	4.936717793	3.049555794	-0.136874338	-0.83088362	NA	NA	NA	-1.631482654	NA	NA	0.740217689	NA	subtype1
TW700	-0.422868484	-0.300899502	0.434530983	0.55322534	-0.485971861	2.255681605	-0.096278023	1.371845532	2.622107569	0.67914797	2.52269927	2.004634543	-2.306819545	2.038952566	2.089371134	1.693447829	1.763644654	0.883393132	1.141048909	1.696249015	subtype2+3+4
TW704	3.107555972	2.138568139	3.600645549	3.491897423	2.38290768	3.754466905	3.512572355	3.477673979	4.786346914	3.392591461	0.548611446	0.182620464	NA	0.113378423	-0.122431191	-0.104619739	0.020073886	-0.306889569	0.700282213	-0.875286687	subtype1
TW705	-2.107595129	-0.156225054	0.258000193	-0.553738167	NA	0.201907626	0.491798062	-0.443554888	2.641296312	-0.756855732	4.057222056	2.540056925	-1.269554411	2.502986643	2.457368419	2.387156758	2.361541251	1.441180683	4.362953929	1.563629137	subtype2+3+4
