sample_id	predicted_probability
TW688	0.35902724
TW689	0.9091031
TW690	0.92541933
TW691	0.90054923
TW692	0.908959
TW693	0.9071541
TW694	0.9091666
TW695	0.9114723
TW696	0.9083092
TW697	0.9097784
TW698	0.34264112
TW699	0.9102492
TW700	0.9096411
TW701	0.9181422
TW703	0.90922993
TW704	0.37033388
TW705	0.9157957
TW706	0.91081834
TW707	0.9100343
TW708	0.90867406
TW709	0.9092582
TW710	0.9124584
TW711	0.892142
TW712	0.45845982
TW713	0.86032355
TW714	0.34264112
TW715	0.9128417
TW716	0.9093498
TW717	0.9054588
TW719	0.36821994
TW720	0.90803695
TW721	0.90874314
TW722	0.90937126
TW723	0.9102899
TW724	0.9057506
TW725	0.8791085
TW726	0.9076699
TW727	0.36564288
TW728	0.9090593
TW729	0.9103643
TW730	0.8994163
TW731	0.9055784
TW732	0.84759
TW733	0.90987974
TW735	0.40887943
TW736	0.89576477
TW737	0.9092666
TW738	0.8570917
TW739	0.81882644
TW740	0.35387588
TW741	0.9102621
TW742	0.911188
TW743	0.34264112
TW744	0.34264112
TW745	0.92439413
