sample_id	predicted_probability
TW688	0.29230323
TW689	0.93892676
TW690	0.93892676
TW691	0.87356955
TW692	0.93892676
TW693	0.93892676
TW694	0.93892676
TW695	0.80880046
TW696	0.93892676
TW697	0.93892676
TW698	0.29230323
TW699	0.93892676
TW700	0.93892676
TW701	0.93892676
TW703	0.93892676
TW704	0.29230323
TW705	0.93892676
TW706	0.93892676
TW707	0.93892676
TW708	0.93892676
TW709	0.9208205
TW710	0.93892676
TW711	0.9002072
TW712	0.39316198
TW713	0.8417476
TW714	0.29230323
TW715	0.93892676
TW716	0.77486
TW717	0.87356955
TW719	0.29230323
TW720	0.87356955
TW721	0.8417476
TW722	0.9208205
TW723	0.9208205
TW724	0.9024275
TW725	0.93892676
TW726	0.8754907
TW727	0.29230323
TW728	0.9208205
TW729	0.93892676
TW730	0.9155278
TW731	0.93892676
TW732	0.7614173
TW733	0.93892676
TW735	0.45765668
TW736	0.93892676
TW737	0.93892676
TW738	0.9155278
TW739	0.8826967
TW740	0.29230323
TW741	0.93892676
TW742	0.93892676
TW743	0.29230323
TW744	0.29230323
TW745	0.93892676
