sample_id	predicted_probability
C3L.00104	0.48017305
C3L.00365	0.8105521
C3L.00674	0.46233428
C3L.00677	0.46233428
C3L.01040	0.46233428
C3L.01043	0.8105521
C3L.01045	0.8105521
C3L.01046	0.8105521
C3L.01048	0.8105521
C3L.01049	0.8105521
C3L.01061	0.8105521
C3L.01142	0.8105521
C3L.01146	0.71398365
C3L.01149	0.79453504
C3L.01154	0.8105521
C3L.01155	0.46233428
C3L.01156	0.46233428
C3L.01157	0.46233428
C3L.01327	0.8105521
C3L.01887	0.46233428
C3L.02465	0.8105521
C3L.02504	0.8105521
C3L.02542	0.8105521
C3L.02642	0.46233428
C3L.02704	0.7918178
C3L.02705	0.7727702
C3L.02707	0.6934514
C3L.02955	0.46233428
C3L.02970	0.7847953
C3L.03260	0.46233428
C3L.03266	0.7954899
C3L.03387	0.46233428
C3L.03390	0.8105521
C3L.03392	0.8105521
C3L.03400	0.8105521
C3L.03405	0.80299157
C3L.03407	0.8105521
C3L.03681	0.8105521
C3L.03727	0.8105521
C3L.03728	0.8006526
C3L.03744	0.7918178
C3L.03748	0.8105521
C3L.03968	0.8105521
C3L.04084	0.8105521
C3N.00661	0.8105521
C3N.00662	0.8006526
C3N.00665	0.8105521
C3N.01192	0.8032497
C3N.01196	0.8105521
C3N.01334	0.5014794
C3N.01364	0.8105521
C3N.01366	0.8105521
C3N.01367	0.8105521
C3N.01368	0.8105521
C3N.01369	0.8006526
C3N.01505	0.8105521
C3N.01515	0.8105521
C3N.01517	0.8105521
C3N.01518	0.8105521
C3N.01798	0.46233428
C3N.01814	0.47445366
C3N.01815	0.8105521
C3N.01816	0.8105521
C3N.01818	0.46233428
C3N.01851	0.8105521
C3N.01852	0.7649578
C3N.01856	0.8105521
C3N.01857	0.46233428
C3N.02181	0.69615185
C3N.02183	0.8105521
C3N.02185	0.46233428
C3N.02186	0.46233428
C3N.02188	0.8105521
C3N.02190	0.8105521
C3N.02255	0.46233428
C3N.02256	0.46233428
C3N.02769	0.8105521
C3N.02770	0.46233428
C3N.02782	0.8105521
C3N.02783	0.49989322
C3N.02784	0.8105521
C3N.02785	0.46233428
C3N.02786	0.8105521
C3N.02788	0.46233428
C3N.03088	0.46233428
C3N.03180	0.46233428
C3N.03182	0.8105521
C3N.03183	0.8105521
C3N.03184	0.8105521
C3N.03186	0.46233428
C3N.03188	0.46233428
C3N.03473	0.8105521
