	control0075PLATE003	cancer0075PLATE002
A0A075B6H9	9.29132881038121	NA
A0A075B6I0	11.7581985062086	NA
A0A075B6J1	NA	8.8028470515902
A0A075B6J6	NA	NA
A0A075B6J9	11.3037209753482	10.1712397255219
A0A075B6K0	14.8845664798435	NA
A0A075B6K4	NA	12.9195857814187
A0A075B6K5	10.6667643703548	12.6754848166167
A0A075B6P5	12.8242895800589	15.1951550009469
A0A075B6Q5	10.3027157520975	12.6885933097458
A0A075B6R2	NA	NA
A0A075B6R9	13.8532205455935	16.6458778389625
A0A075B6S2	15.6871442331699	17.1038474102123
A0A075B6S5	11.677817692359	14.0475394923807
A0A075B6S6	NA	NA
A0A087WSX0	NA	NA
A0A087WSY4	NA	NA
A0A087WSY6	11.8526627526929	13.5450582608938
A0A087WW87	13.9867604918551	14.3902866644238
A0A0A0MS14	NA	NA
A0A0A0MS15	12.5588578862276	14.1439240559737
A0A0A0MT36	10.3761889942793	NA
A0A0B4J1U3	9.40965766668725	11.6548691481791
A0A0B4J1U7	10.180259597891	NA
A0A0B4J1V0	12.9682280327251	14.1486367017171
A0A0B4J1V1	NA	NA
A0A0B4J1V2	9.79203184808947	11.2848619334302
A0A0B4J1V6	10.7832203785616	11.2653776858718
A0A0B4J1X5	17.049983782481	17.9394000442035
A0A0B4J1X8	15.327382965255	17.4133998973131
A0A0B4J1Y8	11.1664573360565	11.9072596461015
A0A0B4J1Y9	13.2984927776602	11.23187888015
A0A0B4J2D9	9.88169773295129	NA
A0A0B4J2H0	12.4735949024217	12.2397106877351
A0A0C4DH24	NA	NA
A0A0C4DH25	14.2710509052936	15.1084210840241
A0A0C4DH29	9.76826783334847	NA
A0A0C4DH31	15.1214266457709	13.3325515344683
A0A0C4DH33	13.249021994048	16.155815722047
A0A0C4DH35	11.7945351523037	14.2079672653495
A0A0C4DH36	11.7049640682493	13.6135031866982
A0A0C4DH38	14.2020495207401	15.1710116753115
A0A0C4DH42	NA	NA
A0A0C4DH67	10.6357323994686	12.1142443424854
A0A0C4DH73	11.1524996250924	13.9509825386433
A0A0G2JMI3	10.8011190339052	NA
A0A0G2JS06	NA	NA
A0A0J9YX35	12.4929822058479	15.4397999470786
A0A1B0GTC6	16.6830795297307	19.1888170013369
A0A1B0GTH9	NA	NA
A0AVT1	10.6623979378501	NA
A0FGR8	11.7906409234654	NA
A0M8Q6	18.4540621592121	18.2978814103936
A1A4S6	10.8272197998371	NA
A1L0T0	NA	NA
A1L3X0	10.7699737023445	NA
A1L4H1	12.0952308836454	13.5990555252657
A1X283	11.1842459595382	11.5577925122997
A2NJV5	9.58747378288766	NA
A2RRP1	9.23125004374708	NA
A2RTX5	9.1535116757695	NA
A2RUS2	12.5674418068508	11.6331372538833
A2VEC9	10.8911419631188	13.2920790746336
A4D1B5	10.4358552601874	9.71727562249347
A4D1P6	10.7129707761497	NA
A5A3E0	17.4148957786139	17.010193090472
A5D8V6	10.9495675971062	NA
A5YKK6	9.50688816188112	9.89802949238395
A6NDG6	11.7828261863419	13.1306049675168
A6NDU8	11.9108301727705	11.7401303161322
A6NFX1	NA	NA
A6NIH7	9.96613927921563	NA
A6QL63	10.8144372483269	NA
A7E2V4	10.1642428321325	10.4129509594787
A7KAX9	8.05431251014085	NA
A8MV81	NA	NA
A8MWD9	NA	NA
A9UHW6	NA	NA
B0I1T2	11.683622402164	11.8580021547689
B2RUZ4	11.9290053295806	NA
B5ME19	12.6013346400019	13.1118100179903
B7ZAP0	NA	NA
B7ZAQ6	NA	NA
Biognosys_pep-b	18.7246235535514	20.8006101378982
Biognosys_pep-c	18.8406908261009	21.0773862118029
Biognosys_pep-d	19.4164696186929	21.4972172864876
Biognosys_pep-e	20.3663106069337	22.0572897543771
Biognosys_pep-f	18.178310611699	20.8259419626244
Biognosys_pep-g	18.8735500939396	21.0717785407078
Biognosys_pep-h	12.22836821825	14.3537819212283
Biognosys_pep-i	20.5053550970109	22.6621319055037
Biognosys_pep-k	21.0182443330661	22.8113739094909
Biognosys_pep-l	19.220260079515	21.361147712533
C4AMC7	10.9685666072479	9.75047617443145
C9J7I0	6.78361016712407	NA
E9PAV3	12.5372221929478	13.4819206101224
E9PB15	10.5576353608836	NA
G9CGD6	9.09863034805177	NA
L0R6Q1	10.1387558267813	NA
O00116	11.1707895475529	11.7411874666219
O00139	15.2718260314856	14.2572852519559
O00142	NA	NA
O00151	15.7473743191795	14.4726384142022
O00154	12.3480738049584	11.1896004834243
O00159	12.153572131946	11.1054315577445
O00160	10.2322411459267	NA
O00161	15.0016348003994	13.4798837312479
O00170	10.1623839523931	9.8346898691621
O00178	11.6018574809956	10.8717244173147
O00186	13.7273263755768	13.0760667711851
O00187	18.9628946818629	22.0109634072449
O00189	NA	NA
O00194	16.1952700673612	14.9010312111489
O00203	12.7610667465127	12.7323851398778
O00214	10.2565166685641	NA
O00217	9.38422066704176	NA
O00231	11.686897682307	11.2215680941542
O00232	12.645780011505	11.6408285419372
O00233	11.6637288841204	10.9976684399923
O00244	12.633079368282	12.327154867926
O00258	NA	NA
O00264	14.7851969110718	15.7030901541134
O00299	18.0342429917972	17.7411365361332
O00303	11.7233189938352	11.3191348709299
O00330	NA	13.9078226697315
O00339	10.2199125125278	12.6922734561391
O00391	14.8755970394254	16.8657492207259
O00399	10.6858949142952	NA
O00400	14.2405836235703	NA
O00408	11.9396843027452	NA
O00410	14.7775624468437	14.5119048725285
O00421	9.78221779555811	NA
O00425	9.65461439695983	NA
O00429	13.5602102516164	12.3614528297707
O00442	13.1006475828809	NA
O00451	9.79684772645149	12.2355158569869
O00453	12.1636183535417	NA
O00461	12.7726326247562	15.4073104294954
O00468	14.0763145742846	15.9120101614111
O00469	8.72079545004561	NA
O00471	12.0817655769709	NA
O00481	10.141534975254	NA
O00483	15.1160145498971	15.0070192229638
O00487	11.4243141933255	NA
O00501	12.8612666976604	NA
O00505	11.0297731756589	11.1486820036326
O00522	9.51671788695699	NA
O00534	11.3273038754939	NA
O00560	11.9138398173722	12.9975742102469
O00571	13.3224482142419	12.9428775080519
O00584	9.07949666552199	NA
O00585	12.8886578849248	14.5819439158492
O00587	8.31699270365409	NA
O00592	11.1918360597374	12.8618224994184
O00602	15.5983047134178	16.259293724718
O00629	11.0134119611925	11.7507011601636
O00743	14.1321232988284	12.9777130582028
O00746	NA	NA
O00754	9.07376844638434	NA
O14498	10.7380472002678	11.6931068241033
O14523	9.62367400429185	NA
O14530	11.5810551572024	12.1326258645407
O14545	10.7898826393104	10.7401755163918
O14548	NA	NA
O14561	11.5388037064523	12.8028815553519
O14562	NA	11.5058243927104
O14569	NA	NA
O14579	12.7590883560867	12.8258681302046
O14594	13.0137128407264	14.390511293823
O14602	14.8813272194487	14.587631951988
O14617	14.0597568662378	14.0861342808468
O14618	11.7355209047277	11.4640043559477
O14639	10.9815135420225	9.50727456164806
O14653	NA	NA
O14656	11.4353256286321	12.7149453860635
O14657	7.21575797080463	9.95285684266385
O14662	10.3067163204057	NA
O14672	14.5701489410831	15.3395355248757
O14681	NA	NA
O14727	10.0750052551578	NA
O14730	12.3447519613335	NA
O14734	9.843614215087	10.8632245874162
O14735	11.0986403063272	11.091290584483
O14737	13.4228888601512	14.1861600425923
O14744	10.9432131394157	10.211553705701
O14745	12.9339014136157	13.2370767411462
O14772	10.751428724749	NA
O14773	12.2017672238124	13.6362141545132
O14775	12.2082983699381	11.386222078725
O14786	15.7747110648273	18.1541209148467
O14787	10.0903594375513	9.40945878877946
O14791	15.586140673948	16.6435633767969
O14817	NA	NA
O14818	13.2399850751131	12.5619577311773
O14828	11.8125857881632	NA
O14841	9.46607235277412	NA
O14874	9.08224732831193	NA
O14880	10.3917697260693	NA
O14907	NA	NA
O14908	NA	NA
O14920	10.4121246572448	NA
O14949	NA	NA
O14957	NA	NA
O14960	13.6844848589316	18.2912702059029
O14964	10.986583267851	11.5092337684875
O14972	NA	NA
O14974	15.9090148282631	15.243175436527
O14975	9.12030259205033	NA
O14976	11.9554908142851	12.0300861585659
O14979	12.3641715334629	12.5588896414952
O14980	12.2092595421066	11.851269232785
O15013	10.64203207601	NA
O15027	9.17576774941016	NA
O15031	13.6747607960104	13.2332722414004
O15040	NA	NA
O15067	11.2545999039824	11.2725497714789
O15068	NA	NA
O15084	12.6294906977776	12.3349238325062
O15111	12.3104158575644	NA
O15116	NA	NA
O15117	14.8444920988173	13.4123125711323
O15120	NA	NA
O15126	10.5378411701361	NA
O15127	13.0324619733056	12.8635449571589
O15143	15.5929330494806	13.6351114031535
O15144	15.9403098329528	14.3812839112286
O15145	15.6452170999424	14.3719922137415
O15155	11.892461290407	10.2411148438632
O15162	10.6857858641418	NA
O15173	11.2972709036026	11.4146420139667
O15194	11.4066714858483	9.99257397183201
O15204	13.9017558354226	15.1855055104463
O15211	9.57351602331835	NA
O15212	10.7995784681659	11.4133107924573
O15228	8.60966335449704	NA
O15230	10.8283441592035	12.0197936310836
O15231	12.3321243958661	12.4856057763042
O15240	11.0093945112237	14.022204563152
O15243	NA	NA
O15258	NA	NA
O15260	12.8743315252344	NA
O15269	11.375391741408	NA
O15270	8.90315451834375	NA
O15294	7.89675302983557	NA
O15305	12.7776496278089	12.148925864847
O15321	NA	NA
O15327	11.6058698919107	11.0495552794901
O15335	15.0586687457279	15.4402766060387
O15347	NA	10.5011542013744
O15354	10.1455083620495	12.9863329300593
