	P80511	P04908	P02741	P81172	Q5TEC6	P62805	P18827	Q03252	P25815	O60814	P18206	A5A3E0	Q5SZK8	P00491	P63096	P60174	P12814	P98172	Q8N392	P07195	phenotype
control0056PLATE004	10.7380919502933	11.5830478664867	20.2916071842746	10.1222423686638	NA	14.9346943861437	15.9785826033452	10.9433969342722	9.44885245248236	14.7481309025084	17.0257443285265	20.5748890158226	12.8506264738335	14.9381829280075	11.1011415102234	13.2673847911845	18.3649595183185	12.1697491862423	13.0281001433525	14.4134246907291	control
control0080PLATE004	11.3974431514833	13.060676473684	19.7601227746678	10.9055055394148	12.1551639542753	15.3871764425537	16.3755567949971	11.8713734258277	9.69220927365295	15.1469985164369	17.2360761066075	19.7962918661713	14.5371272612061	14.9398296385489	11.0303118414544	14.0048469191847	17.4752570879314	10.993212672198	14.3321988502936	15.1674729686718	control
control0087PLATE004	11.0159079066943	10.5834301243595	20.1966719086097	10.8900017579571	10.9815356653275	14.2194666360124	13.5314956896596	10.0569650941762	8.17259460530001	14.1513783171932	17.7820746839726	20.5647467917936	9.92007994052452	15.5325277444215	11.2636123524084	14.2848884725495	18.252530023309	12.4929507993105	14.5641336702214	15.477282715142	control
control0104PLATE004	9.87909989375047	9.52111012302583	16.2379692089635	11.6163733959095	10.288307791036	13.1943222234322	13.9654277054296	8.98896841128651	7.76751204102853	12.6951898398947	16.9158606009142	20.735398910567	10.405115877573	14.1515505017096	12.0283263057448	13.3051193449974	18.1119900136289	12.7136302586011	13.162544994425	14.2040392828632	control
control0039PLATE004	12.4898793121293	12.3991651208744	21.8258527035056	11.700521844134	12.2782422798569	15.31913294099	14.2552529415971	10.9642822513334	NA	14.9433920154934	17.8154650938643	20.6563692139892	10.9586541301221	15.1419875155803	11.6109556577453	14.2750426261497	18.0988232372553	12.3833383164095	14.8708340823645	14.9726052622622	control
cancer0104PLATE002	14.0964378547406	15.6854780202632	22.5365303873841	12.0412826543568	14.1164699300857	17.1685142070039	19.5474246943931	14.1389099999931	11.2006711550314	16.0606543769888	17.0902119427493	17.9874878195419	11.8938985339776	14.5743207327786	9.30255930247417	13.6450149698995	17.2481464759996	11.4452676189736	14.7009819172292	14.9418130259311	cancer
cancer0087PLATE002	17.1002115675351	14.8069886016462	24.0880295847342	16.640433944412	14.7647458789884	17.9123169557822	19.096314307296	15.9357327539855	13.361927581138	16.6566030356785	16.4497020645165	17.5248169133351	10.6285180739252	14.2980316536771	9.22688076395561	13.2282093671871	16.673288692788	11.1927719955559	13.2381443409266	14.0066650744397	cancer
cancer0032PLATE003	11.0272987608112	10.4260757053857	16.7250857857482	9.2975340003194	11.0216877656685	13.9271575554395	15.1707797694791	9.71362375650783	NA	12.6256002748223	17.8390143994865	17.1491470417236	6.9633405357784	15.1389779434426	11.7884232257803	14.2910173501779	18.1407640984114	12.6667532118124	14.4201684099581	15.212466699219	cancer
cancer0063PLATE002	14.6515331759373	14.3320894214508	22.7259538658122	13.7428285234726	12.7189295660072	16.1193578489713	18.4716853841021	12.301470936479	10.9334641968731	15.8069143826654	15.6907677685644	17.7338908474042	11.7966792285533	13.4621574996763	9.15872200611777	12.1749558463951	16.7987071229294	10.8540721491207	13.0152717749173	13.2503075270276	cancer
cancer0020PLATE002	12.6242771815569	12.334413921095	21.696362365193	13.6480741319012	12.9974183817435	16.0233961672763	15.2272868926099	13.002369865224	9.59326846734341	15.155031897215	18.1934991918772	19.6312954200223	9.24360053727997	15.2761863265762	10.7863133055166	14.3376828724082	17.5642848814614	12.057945298958	15.3990704372583	15.6163230236211	cancer
control0068PLATE004	10.7334290489775	11.2692351384259	18.8324076579774	NA	11.2498556163487	14.5505150056971	13.9002714841562	9.20167989196569	8.20570795047072	14.3369554144434	17.8918282862256	21.2903032397421	9.33262350859989	15.4278405667324	11.4526166671464	14.2604848620022	18.2469285821089	12.2171912447377	14.1560931088263	15.408644087261	control
cancer0027PLATE002	11.9424378130209	13.7541760574867	22.1738000270424	NA	13.7432531111405	16.6793844169308	16.239946920332	12.5449878903875	10.4687765311594	15.6878535262466	14.1018708663297	16.4467117826015	10.816225974618	12.2153716921197	9.2049649505887	11.7486143262936	15.5515510327241	10.4846117431635	13.2755966881888	12.5360370540276	cancer
cancer0044PLATE002	17.7205888169515	16.0527915707725	23.846366698658	14.1291825362675	14.9021981652959	18.247812226151	18.4895897729607	14.8133596391402	12.7152832512904	17.8335286585947	13.4206400345255	16.20444114516	10.3401524568126	11.8403805165474	NA	11.1638772041651	14.4856223581933	10.2167779720571	11.981687906274	12.7241996932149	cancer
control0039PLATE003	11.8152231067462	12.0208277201037	21.7379455279999	11.7210174954502	NA	14.4673240696164	15.8160485888878	10.9238693171095	8.9710895250578	13.7215692262971	17.7117116042691	18.2628924271695	12.2295549368979	15.3596107026485	11.3694028531597	14.0305213244207	17.9903921705502	12.0988229160624	14.4381606105333	15.1416158910935	control
control0068PLATE003	12.6612212863155	12.6415651587232	21.1187719209637	NA	12.5480019046602	15.801633374459	16.1068244065042	11.5411237998947	10.2181939708369	14.6689257659739	17.6200110291426	18.2106008979719	12.7747539882934	15.2879069330177	10.7672266095248	14.1599951012497	17.9881667499876	12.1425206232964	14.2877983187842	15.1183329524976	control
control0063PLATE004	9.82567484794918	10.243494491744	19.0052256763298	NA	9.72660619421872	12.7516683728487	14.6793589649418	9.7394943765024	9.00473515825957	12.6824419373409	17.9981708373155	20.3474999920192	9.88155258215774	15.1386122606185	11.4280063752414	14.2504201572833	18.0999776241949	12.0373438515559	14.5330519932804	15.4751055306174	control
control0092PLATE003	12.0759672464401	11.4121776478202	19.2413697601424	NA	NA	14.7882164955144	15.5628990774118	11.5403522689761	9.97396085079409	13.5677276244884	17.5052424142434	17.841733921843	13.8301315045008	14.4783727923727	11.2664727387412	13.6197039339274	17.8692322589636	12.1522337725298	14.421126404518	14.9547130978043	control
cancer0099PLATE002	16.2256996377215	14.8639360351052	21.7173830504798	13.3352834850826	15.5444541651218	18.9817372853272	18.4919470187307	12.0317180271213	11.8568077150984	17.861730984802	17.9099074544401	18.0469334741124	8.32326687440564	15.5256607107814	11.2641271422878	14.4362154003021	18.058780864023	11.3803458555944	14.286154583451	14.9112657059752	cancer
cancer0056PLATE002	12.2152951054175	14.6757649781918	21.9900837032458	13.4227073227263	13.9785482156301	17.5360216346416	17.0401097529044	10.5226745518128	11.3300479609705	16.6481928738777	17.4006211094612	20.213988357354	9.40680095770516	15.0565680961483	10.6044703180249	14.1107445442227	17.0928547078513	11.3485943096466	14.9687517700322	15.1366939150006	cancer
cancer0087PLATE003	13.2431449220855	13.3690813029244	21.265974232311	13.9626267856676	13.5754525739912	16.7153793058096	16.6904591743176	12.5582360659882	12.4370347558832	15.4483220258185	14.7770333289755	17.5144212697558	10.8384616656019	12.5433816375828	10.7038856244482	11.6807563340487	16.5264690314377	11.6609103308778	12.6703731484515	13.0327387316888	cancer
cancer0027PLATE003	18.8001741511379	19.5285492572326	22.6348515881845	16.7379889406663	19.3957135031102	21.9167272298703	19.8516442100869	15.3126360752405	14.1861496123225	21.7009405505137	15.1809063490099	17.1166098473231	8.72986061935339	12.9602489249778	NA	12.1487950970693	16.2062061024605	11.009965946068	12.9101513678635	14.8587289850256	cancer
control0104PLATE003	13.3352772144259	12.9311466996865	21.348747601856	12.7859183616467	12.7294391249246	16.1184058327272	16.0984697212094	11.448175679936	10.701014607733	14.9289563705484	16.819843943931	17.4077612553501	11.6468115923942	14.0713921458938	11.2965558218522	13.1624358934857	17.0396435043007	12.0801623723855	14.678115996491	14.3834000220511	control
