	cancer0044PLATE003	control0063PLATE003	control0056PLATE004	control0056PLATE003	control0080PLATE004	control0087PLATE004	control0104PLATE004	control0039PLATE004	cancer0104PLATE002	cancer0087PLATE002	cancer0032PLATE003	cancer0063PLATE002	cancer0020PLATE002	control0099PLATE003	cancer0080PLATE002	control0068PLATE004	cancer0027PLATE002	cancer0032PLATE002	cancer0044PLATE002	control0039PLATE003	control0068PLATE003	control0063PLATE004	control0092PLATE003	cancer0068PLATE002	cancer0099PLATE002	cancer0092PLATE002	cancer0056PLATE002	cancer0087PLATE003	cancer0027PLATE003	control0051PLATE003	control0104PLATE003	control0015PLATE003	control0051PLATE004	control0020PLATE003	control0080PLATE003	cancer0015PLATE002	cancer0039PLATE002	cancer0051PLATE002
A0A075B6H9	11.2878510068655	9.793580290744	11.3165664568744	11.6931325665715	NA	8.59408456826265	8.46855953815087	9.24806813408825	NA	NA	10.6571569425493	11.0128531401374	11.4607679613891	NA	10.6183720586666	8.08112353343678	12.211871960452	9.3368583287818	10.2944304643783	10.7987389576408	NA	10.357713206276	9.95616395850372	9.58646633555077	9.92301948634648	9.94399171457515	NA	9.00331528103853	12.1710185494215	8.84565160389641	10.3415600847063	11.0551318070428	9.96171480691048	11.0256299509981	NA	NA	10.8819376897907	11.9573218968425
A0A075B6I0	13.8509978996704	NA	NA	NA	NA	NA	NA	NA	NA	15.2958489313624	NA	NA	NA	13.1939032486829	12.9552650030064	NA	NA	11.6045384117642	NA	NA	NA	NA	NA	11.4013852737405	NA	NA	NA	NA	NA	12.0355248778825	NA	NA	NA	13.6063879291652	NA	NA	NA	NA
A0A075B6J1	13.1864546287803	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.38327832228316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.69506513068949	NA	NA	7.64688848089886	NA	NA	NA	NA	NA	NA	9.40184784773425	NA	NA	NA
A0A075B6J6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.1075888869106	9.19359935197301	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6J9	13.3527775930365	NA	9.88635505394553	12.2239314345436	11.7290769603719	9.80084126112813	8.24425087623643	NA	10.0286815840028	NA	9.97824541125262	10.4705423312913	NA	NA	11.4384125566918	7.81386943931324	10.9093536682306	NA	9.94708701254452	NA	9.88893532259118	9.12626413006259	10.3031327287778	10.1425206232964	9.61375170198808	10.0574188377512	10.7765293175525	NA	10.8467766132156	8.60915630138834	10.8217156990085	9.89737002772581	NA	13.8768772718152	11.6148611247585	10.4818421654744	NA	NA
A0A075B6K0	14.5178960551919	NA	13.3599668001986	15.757308107135	13.4842909014954	12.4800738745339	10.8561196305261	13.1211497862946	12.7039799069765	14.7674252556187	12.0656483546808	15.5078548744473	NA	8.28902626786711	14.0457958160109	10.7822166955232	15.9604488574869	NA	15.4644548880524	15.4679696642766	12.9544100412502	13.773829997237	13.6993929431135	NA	12.3962406260107	NA	12.108501007127	13.4198705773769	15.0599772955316	11.8440393794829	13.4734699259257	12.9932871443474	12.9436180831263	13.3573805822624	14.2543291475576	NA	NA	NA
A0A075B6K4	12.4532180009619	NA	11.8651069337291	11.896396896143	NA	NA	13.479093418634	NA	12.7841743296613	12.4979264930926	14.1115706256021	12.444089401874	NA	NA	NA	NA	15.7420073543324	NA	NA	15.2573013676738	NA	13.7875630490392	11.8858505081013	13.2947240837599	11.6758163316576	NA	11.4699307928912	11.1284445200563	14.6110752423238	NA	13.6299060816508	NA	12.7006805795805	NA	NA	NA	NA	NA
A0A075B6K5	13.4867794261112	10.0310119074377	11.1650000411902	12.8208540235613	11.201622166302	11.1106634710453	10.0872894723218	10.9917107456691	10.9803487151791	12.0941345618726	10.6553090670861	14.6871494671119	11.501754592911	12.0365091893119	12.6753868225933	10.1553415558216	12.5630241092435	11.0452137330061	12.7061657867536	11.4517452559149	11.2185698874217	12.4273533860085	11.6179271171239	13.2826324579609	11.2008439903806	10.4943866132513	10.4575176523728	12.3529857860514	12.3656505709517	11.044236845681	12.6691008870464	11.3867787251792	11.5679728974412	11.881922571168	10.6803473964326	10.7569945973734	10.7794887304767	11.0396537108528
A0A075B6P5	14.4670390504509	13.4794133210461	14.7477826182473	15.8038593445833	13.6723378237532	12.266784396494	12.5941207983208	13.0347714293513	14.221776788664	15.3513098284438	14.103954471745	14.909172719274	12.4486001807264	13.912854625289	16.3139868215725	12.3949184681195	15.3589779000238	13.6158892330963	15.2938939709276	13.8696297049005	13.8040577385534	13.2766499417831	13.6526713681832	13.3142208832513	14.7557127827954	14.3275408576672	11.416025373294	15.3795227385081	14.7412556797931	12.7615434210823	15.1268018185079	14.3715405708533	14.1209655528068	15.7907554518791	14.374615139564	14.2144784710086	15.5827882636834	13.8706741023059
A0A075B6Q5	14.7768027763909	NA	11.2388351829877	13.2233822104167	12.7566792890541	9.00409305085326	9.53690750759155	10.8662184833672	NA	13.6241213058813	10.9711622529744	12.8749606231376	10.4475056523076	10.9457234244693	12.740010770579	8.574291163462	12.3094952276277	12.0530342861745	13.9326227040242	11.6785221284301	10.6163177506964	9.1147341139399	12.0257200008306	11.0135121477566	11.6039497811254	NA	11.0681159908657	11.8341060524872	12.8386129480276	NA	12.0405377258027	12.7388888662853	11.1435136947174	NA	12.8712953952293	12.2634316883789	15.0033055004955	11.7852096850115
