sample_id	multiomic	multiomic_splitted
C3L.00104	nmf1	nmf1
C3L.00365	nmf2/nmf3	nmf3
C3L.00674	nmf1	nmf1
C3L.00677	nmf1	nmf1
C3L.01040	nmf1	nmf1
C3L.01043	nmf2/nmf3	nmf2
C3L.01045	nmf2/nmf3	nmf3
C3L.01046	nmf2/nmf3	nmf2
C3L.01048	nmf2/nmf3	nmf3
C3L.01049	nmf2/nmf3	nmf2
C3L.01061	nmf2/nmf3	nmf3
C3L.01142	nmf2/nmf3	nmf2
C3L.01146	nmf2/nmf3	nmf2
C3L.01149	nmf2/nmf3	nmf3
C3L.01154	nmf2/nmf3	nmf3
C3L.01155	nmf1	nmf1
C3L.01156	nmf1	nmf1
C3L.01157	nmf1	nmf1
C3L.01327	nmf2/nmf3	nmf3
C3L.01887	nmf1	nmf1
C3L.02465	nmf2/nmf3	nmf2
C3L.02504	nmf2/nmf3	nmf3
C3L.02542	nmf2/nmf3	nmf3
C3L.02642	nmf1	nmf1
C3L.02704	nmf2/nmf3	nmf2
C3L.02705	nmf2/nmf3	nmf2
C3L.02707	nmf2/nmf3	nmf3
C3L.02955	nmf1	nmf1
C3L.02970	nmf2/nmf3	nmf3
C3L.03260	nmf1	nmf1
C3L.03266	nmf2/nmf3	nmf3
C3L.03387	nmf1	nmf1
C3L.03390	nmf2/nmf3	nmf3
C3L.03392	nmf2/nmf3	nmf2
C3L.03400	nmf2/nmf3	nmf2
C3L.03405	nmf2/nmf3	nmf3
C3L.03407	nmf2/nmf3	nmf2
C3L.03681	nmf2/nmf3	nmf2
C3L.03727	nmf2/nmf3	nmf3
C3L.03728	nmf2/nmf3	nmf2
C3L.03744	nmf2/nmf3	nmf2
C3L.03748	nmf2/nmf3	nmf2
C3L.03968	nmf2/nmf3	nmf3
C3L.04084	nmf2/nmf3	nmf3
C3N.00661	nmf2/nmf3	nmf2
C3N.00662	nmf2/nmf3	nmf3
C3N.00665	nmf2/nmf3	nmf2
C3N.01192	nmf2/nmf3	nmf2
C3N.01196	nmf2/nmf3	nmf3
C3N.01334	nmf1	nmf1
C3N.01364	nmf2/nmf3	nmf2
C3N.01366	nmf2/nmf3	nmf2
C3N.01367	nmf2/nmf3	nmf2
C3N.01368	nmf2/nmf3	nmf3
C3N.01369	nmf2/nmf3	nmf2
C3N.01505	nmf2/nmf3	nmf2
C3N.01515	nmf2/nmf3	nmf2
C3N.01517	nmf2/nmf3	nmf3
C3N.01518	nmf2/nmf3	nmf2
C3N.01798	nmf1	nmf1
C3N.01814	nmf1	nmf1
C3N.01815	nmf2/nmf3	nmf2
C3N.01816	nmf2/nmf3	nmf2
C3N.01818	nmf1	nmf1
C3N.01851	nmf2/nmf3	nmf2
C3N.01852	nmf2/nmf3	nmf3
C3N.01856	nmf2/nmf3	nmf2
C3N.01857	nmf1	nmf1
C3N.02181	nmf2/nmf3	nmf2
C3N.02183	nmf2/nmf3	nmf2
C3N.02185	nmf1	nmf1
C3N.02186	nmf1	nmf1
C3N.02188	nmf2/nmf3	nmf3
C3N.02190	nmf2/nmf3	nmf2
C3N.02255	nmf1	nmf1
C3N.02256	nmf1	nmf1
C3N.02769	nmf2/nmf3	nmf2
C3N.02770	nmf1	nmf1
C3N.02782	nmf2/nmf3	nmf3
C3N.02783	nmf1	nmf1
C3N.02784	nmf2/nmf3	nmf2
C3N.02785	nmf1	nmf1
C3N.02786	nmf2/nmf3	nmf2
C3N.02788	nmf1	nmf1
C3N.03088	nmf1	nmf1
C3N.03180	nmf1	nmf1
C3N.03182	nmf2/nmf3	nmf2
C3N.03183	nmf2/nmf3	nmf2
C3N.03184	nmf2/nmf3	nmf3
C3N.03186	nmf1	nmf1
C3N.03188	nmf1	nmf1
C3N.03473	nmf2/nmf3	nmf3
